2026-02-09 04:15:05 | [SP500] | M5 | candle=2026-02-09 04:10:00 | O=6945.21 H=6947.15 L=6941.9 C=6942.27 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:15:05 | EURUSD | M5 | candle=2026-02-09 04:10:00 | O=1.18164 H=1.18203 L=1.18163 C=1.18199 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:20:06 | [SP500] | M5 | candle=2026-02-09 04:15:00 | O=6942.21 H=6942.65 L=6940.9 C=6941.4 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:20:06 | EURUSD | M5 | candle=2026-02-09 04:15:00 | O=1.18199 H=1.1822 L=1.18189 C=1.18208 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:25:07 | [SP500] | M5 | candle=2026-02-09 04:20:00 | O=6941.4 H=6944.15 L=6940.9 C=6941.4 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:25:07 | EURUSD | M5 | candle=2026-02-09 04:20:00 | O=1.18207 H=1.18216 L=1.18195 C=1.18212 | bull_eng=False | bear_eng=False | hammer=True | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:30:08 | [SP500] | M5 | candle=2026-02-09 04:25:00 | O=6941.59 H=6942.02 L=6937.9 C=6940.15 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:30:08 | EURUSD | M5 | candle=2026-02-09 04:25:00 | O=1.18211 H=1.1822 L=1.1820599999999999 C=1.18215 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:35:09 | [SP500] | M5 | candle=2026-02-09 04:30:00 | O=6940.4 H=6944.9 L=6940.27 C=6944.15 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:35:10 | EURUSD | M5 | candle=2026-02-09 04:30:00 | O=1.18214 H=1.1824 L=1.1821 C=1.1823 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:40:00 | EURUSD | M5 | candle=2026-02-09 04:35:00 | O=1.1823 H=1.18255 L=1.1823 C=1.18254 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:40:11 | [SP500] | M5 | candle=2026-02-09 04:35:00 | O=6944.15 H=6946.65 L=6944.15 C=6945.27 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:45:02 | [SP500] | M5 | candle=2026-02-09 04:40:00 | O=6944.9 H=6947.27 L=6944.4 C=6946.4 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:45:02 | EURUSD | M5 | candle=2026-02-09 04:40:00 | O=1.18253 H=1.18253 L=1.1819 C=1.18203 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:50:03 | [SP500] | M5 | candle=2026-02-09 04:45:00 | O=6946.65 H=6947.02 L=6945.15 C=6946.65 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:50:03 | EURUSD | M5 | candle=2026-02-09 04:45:00 | O=1.18207 H=1.18208 L=1.18187 C=1.18202 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:55:04 | [SP500] | M5 | candle=2026-02-09 04:50:00 | O=6946.52 H=6946.52 L=6944.34 C=6944.9 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 04:55:04 | EURUSD | M5 | candle=2026-02-09 04:50:00 | O=1.18202 H=1.18217 L=1.18201 C=1.18214 | bull_eng=True | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 05:00:05 | [SP500] | M5 | candle=2026-02-09 04:55:00 | O=6945.21 H=6946.9 L=6940.4 C=6941.4 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 05:00:05 | EURUSD | M5 | candle=2026-02-09 04:55:00 | O=1.18213 H=1.18215 L=1.18193 C=1.18193 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=False | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
2026-02-09 05:05:06 | [SP500] | M5 | candle=2026-02-09 05:00:00 | O=6941.52 H=6943.9 L=6941.27 C=6941.4 | bull_eng=False | bear_eng=False | hammer=False | shooting_star=False | inside_bar=True | near_sr=True | long_sig=False | short_sig=False | action=NONE | lots=0 | sl=0 | tp=0
